Year,Month,Day,Hour,temperature_f,wind_speed_mph,wind_bearing_deg,relative_humidity,visibility_miles_max_10,pressure_mb,Value,more_polluted
2014,1,1,2,37.58,4.96,287,0.22,5.85,1013.27,70,0
2014,1,1,5,37.31,5.11,283,0.22,5.66,1012.46,106,1
2014,1,1,8,38.26,11.17,296,0.24,5.08,1014.55,33,0
2014,1,1,11,46.98,15.66,293,0.25,7.41,1015.81,23,0
2014,1,1,14,50.07,14.63,303,0.15,10,1014.29,24,0
2014,1,1,17,45.6,5.04,211,0.19,9.29,1015.53,27,0
2014,1,1,20,34.56,1.97,115,0.33,3.79,1017.87,70,0
2014,1,1,23,30.23,2,200,0.43,4.64,1019,144,1
2014,1,2,2,25.28,1.78,13,0.52,4.58,1019.55,174,1
2014,1,2,5,26.16,1.44,80,0.64,5.02,1020.26,166,1
2014,1,2,8,25.25,2.17,1,0.71,4.22,1021.23,114,1
2014,1,2,11,39.26,0.62,97,0.39,5.74,1020.65,95,0
2014,1,2,14,44.72,2.5,66,0.33,5.35,1016.41,128,1
2014,1,2,17,37.39,1.54,176,0.4,4.48,1016.48,173,1
2014,1,2,20,31.86,2.03,306,0.55,3.41,1017.63,232,0
2014,1,2,23,33.77,9.93,350,0.54,2.87,1018.1,264,0
2014,1,3,2,31.36,3.27,320,0.56,4.85,1019.36,34,0
2014,1,3,5,32.16,4.74,343,0.4,9.28,1020.29,45,0
2014,1,3,8,30.13,5.07,353,0.43,9.27,1023.47,36,0
2014,1,3,11,42.01,3.94,347,0.23,9.57,1024.72,25,0
2014,1,3,14,44.23,3.77,350,0.19,10,1022.11,21,0
2014,1,3,17,37.65,1.04,120,0.44,10,1023.3,43,0
2014,1,3,20,28.14,1.07,51,0.48,8.18,1025.36,68,0
2014,1,3,23,29.41,6.3,112,0.65,6.91,1025.5,85,0
2014,1,4,2,26.02,1.63,81,0.7,6.01,1025.57,77,0
2014,1,4,5,22.03,1.26,145,0.74,5.67,1024.96,80,0
2014,1,4,8,24.42,1.42,102,0.72,4.34,1025.4,101,1
2014,1,4,11,31.29,1.85,65,0.58,3.94,1024.23,173,1
2014,1,4,14,36.11,3.1,113,0.47,3.71,1020.41,209,0
2014,1,4,17,31.96,2.92,52,0.57,3.61,1020.26,212,0
2014,1,4,20,26.54,1.96,13,0.74,2.97,1021.48,217,0
2014,1,4,23,23.23,4,0,0.75,1.6,1021.5,192,0
2014,1,5,2,21.12,8.04,354,0.78,3.14,1022.54,177,1
2014,1,5,5,18.95,5.91,350,0.79,3.46,1023.38,151,1
2014,1,5,8,23.58,6.39,329,0.69,3,1024.94,140,1
2014,1,5,11,38.81,7.9,351,0.3,5.91,1026.4,54,0
2014,1,5,14,42.89,3.92,15,0.23,10,1024.44,28,0
2014,1,5,17,35.22,4.81,152,0.35,9.31,1025.04,46,0
2014,1,5,20,30.23,6.66,129,0.47,5.49,1026.61,47,0
2014,1,5,23,26.77,3.76,121,0.71,3.5,1028.2,128,1
