Year,Month,Day,Hour,temperature_f,wind_speed_mph,wind_bearing_deg,relative_humidity,visibility_miles_max_10,pressure_mb,Value
2014,1,1,0,39.48,9.67,279,0.18,1.9,NA,53
2014,1,1,1,38.77,7.02,244,0.17,2.5,NA,65
2014,1,1,2,37.58,4.96,287,0.22,5.85,1013.27,70
2014,1,1,3,39.95,3.79,284,0.18,2.2,NA,79
2014,1,1,4,36.88,4,230,0.27,1.9,NA,92
2014,1,1,5,37.31,5.11,283,0.22,5.66,1012.46,106
2014,1,1,6,41.71,11.65,298,0.17,2.5,NA,75
2014,1,1,7,41.95,12.12,288,0.17,1.9,NA,58
2014,1,1,8,38.26,11.17,296,0.24,5.08,1014.55,33
2014,1,1,9,45.18,11.56,299,0.3,2.5,NA,51
2014,1,1,10,47.65,11.65,298,0.21,3.1,NA,32
2014,1,1,11,46.98,15.66,293,0.25,7.41,1015.81,23
2014,1,1,12,50,16.59,303,0.13,5,NA,28
2014,1,1,13,52,18,290,0.13,NA,NA,23
2014,1,1,14,50.07,14.63,303,0.15,10,1014.29,24
2014,1,1,15,51.77,14.29,303,0.13,NA,NA,26
2014,1,1,16,49.77,9.56,291,0.14,NA,NA,26
2014,1,1,17,45.6,5.04,211,0.19,9.29,1015.53,27
2014,1,1,18,46.95,6.14,288,0.16,2.8,NA,43
2014,1,1,19,46.36,2,170,0.17,2.2,NA,62
2014,1,1,20,34.56,1.97,115,0.33,3.79,1017.87,70
2014,1,1,21,30,1.51,84,0.42,1.1,NA,81
2014,1,1,22,30.47,1.51,94,0.43,4.64,NA,111
2014,1,1,23,30.23,2,200,0.43,4.64,1019,144
2014,1,2,0,26.41,1.51,6,0.5,4.21,NA,170
2014,1,2,1,25.59,3.3,9,0.5,4.33,NA,174
2014,1,2,2,25.28,1.78,13,0.52,4.58,1019.55,174
2014,1,2,3,23.82,1.82,17,0.56,4.25,NA,172
2014,1,2,4,23.59,3.65,83,0.55,4.21,NA,149
2014,1,2,5,26.16,1.44,80,0.64,5.02,1020.26,166
2014,1,2,6,27.65,4,70,0.67,4.71,NA,187
2014,1,2,7,21.7,6.18,352,0.76,4.18,NA,107
2014,1,2,8,25.25,2.17,1,0.71,4.22,1021.23,114
2014,1,2,9,34,6.07,2,0.57,3.8,NA,108
2014,1,2,10,37.23,2,70,0.48,4.71,NA,102
2014,1,2,11,39.26,0.62,97,0.39,5.74,1020.65,95
2014,1,2,12,43.35,4,240,0.33,2.2,NA,127
2014,1,2,13,45.35,2,280,0.3,4.64,NA,125
2014,1,2,14,44.72,2.5,66,0.33,5.35,1016.41,128
2014,1,2,15,43.23,4,30,0.32,3.58,NA,146
2014,1,2,16,41.23,3.42,147,0.38,3.58,NA,165
2014,1,2,17,37.39,1.54,176,0.4,4.48,1016.48,173
2014,1,2,18,36.88,7,330,0.48,3.54,NA,195
2014,1,2,19,35.77,7,340,0.52,3.54,NA,239
2014,1,2,20,31.86,2.03,306,0.55,3.41,1017.63,232
2014,1,2,21,32.23,1.78,32,0.58,2.35,NA,242
2014,1,2,22,32.23,2.18,354,0.59,2.35,NA,269
2014,1,2,23,33.77,9.93,350,0.54,2.87,1018.1,264
2014,1,3,0,31.77,3.71,338,0.58,3.99,NA,220
2014,1,3,1,31.53,2,0,0.55,3.99,NA,146
2014,1,3,2,31.36,3.27,320,0.56,4.85,1019.36,34
2014,1,3,3,29.77,11,330,0.61,4,NA,34
2014,1,3,4,30,9.47,0,0.57,4.67,NA,35
2014,1,3,5,32.16,4.74,343,0.4,9.28,1020.29,45
2014,1,3,6,32.95,2.95,357,0.37,1.2,NA,43
2014,1,3,7,28,3.86,6,0.48,2.5,NA,43
2014,1,3,8,30.13,5.07,353,0.43,9.27,1023.47,36
2014,1,3,9,40.53,6.18,20,0.27,2.5,NA,36
2014,1,3,10,44.53,5.95,357,0.2,3.8,NA,23
2014,1,3,11,42.01,3.94,347,0.23,9.57,1024.72,25
2014,1,3,12,47.65,2,120,0.16,5,NA,29
2014,1,3,13,45.88,2,350,0.16,NA,NA,26
2014,1,3,14,44.23,3.77,350,0.19,10,1022.11,21
2014,1,3,15,45.65,13,170,0.36,NA,NA,25
2014,1,3,16,44.06,2.06,111,0.48,NA,NA,31
2014,1,3,17,37.65,1.04,120,0.44,10,1023.3,43
2014,1,3,18,32.23,7,180,0.32,5,NA,46
2014,1,3,19,38.18,7,170,0.27,5,NA,50
2014,1,3,20,28.14,1.07,51,0.48,8.18,1025.36,68
2014,1,3,21,31.77,7,180,0.38,4.4,NA,60
2014,1,3,22,29.77,6.28,104,0.51,3.8,NA,103
2014,1,3,23,29.41,6.3,112,0.65,6.91,1025.5,85
2014,1,4,0,27.65,2,150,0.77,2.2,NA,86
2014,1,4,1,27.65,4,160,0.77,1.9,NA,89
2014,1,4,2,26.02,1.63,81,0.7,6.01,1025.57,77
2014,1,4,3,27,0.47,190,0.7,2.5,NA,77
2014,1,4,4,21.23,1.59,5,0.82,2.5,NA,75
2014,1,4,5,22.03,1.26,145,0.74,5.67,1024.96,80
2014,1,4,6,23.47,1.98,143,0.81,5.92,NA,86
2014,1,4,7,26.77,1.83,85,0.73,4.86,NA,95
2014,1,4,8,24.42,1.42,102,0.72,4.34,1025.4,101
2014,1,4,9,28.7,2.19,131,0.74,3.03,NA,132
2014,1,4,10,30.82,2.57,158,0.72,2.92,NA,153
2014,1,4,11,31.29,1.85,65,0.58,3.94,1024.23,173
2014,1,4,12,35.05,9,180,0.55,2.5,NA,178
2014,1,4,13,36.82,11,170,0.47,2.5,NA,176
2014,1,4,14,36.11,3.1,113,0.47,3.71,1020.41,209
2014,1,4,15,36.35,9,130,0.5,2.72,NA,219
2014,1,4,16,34.23,7,120,0.52,2.57,NA,224
2014,1,4,17,31.96,2.92,52,0.57,3.61,1020.26,212
2014,1,4,18,27.59,3.3,1,0.7,2.57,NA,221
2014,1,4,19,25.82,1.63,26,0.73,2.72,NA,221
2014,1,4,20,26.54,1.96,13,0.74,2.97,1021.48,217
2014,1,4,21,27.12,0,NA,0.71,2.12,NA,203
2014,1,4,22,23.47,2,170,0.74,1.9,NA,221
2014,1,4,23,23.23,4,0,0.75,1.6,1021.5,192
2014,1,5,0,21.47,7.11,356,0.75,1.6,NA,183
2014,1,5,1,24.77,8.99,349,0.76,1.83,NA,175
2014,1,5,2,21.12,8.04,354,0.78,3.14,1022.54,177
2014,1,5,3,19.47,6.96,358,0.76,2.39,NA,183
2014,1,5,4,21,4.31,346,0.82,2.37,NA,155
2014,1,5,5,18.95,5.91,350,0.79,3.46,1023.38,151
2014,1,5,6,19.7,6.62,339,0.8,2.39,NA,137
2014,1,5,7,19.7,8.72,348,0.8,2.37,NA,109
2014,1,5,8,23.58,6.39,329,0.69,3,1024.94,140
2014,1,5,9,30.23,6.96,358,0.7,3.5,NA,117
2014,1,5,10,36.88,8.75,359,0.37,3.58,NA,128
2014,1,5,11,38.81,7.9,351,0.3,5.91,1026.4,54
2014,1,5,12,41,11,30,0.26,3.8,NA,34
2014,1,5,13,42.77,9,20,0.22,4.4,NA,32
2014,1,5,14,42.89,3.92,15,0.23,10,1024.44,28
2014,1,5,15,42.77,7,80,0.21,NA,NA,29
2014,1,5,16,40.53,4,80,0.25,4.4,NA,37
2014,1,5,17,35.22,4.81,152,0.35,9.31,1025.04,46
2014,1,5,18,32,11,150,0.44,1.9,NA,54
2014,1,5,19,27.35,2.47,112,0.53,1.9,NA,53
2014,1,5,20,30.23,6.66,129,0.47,5.49,1026.61,47
2014,1,5,21,29.77,6.62,169,0.56,4.64,NA,112
2014,1,5,22,28,4,150,0.6,4.07,NA,125
2014,1,5,23,26.77,3.76,121,0.71,3.5,1028.2,128
2014,1,6,0,26.77,1.95,94,0.74,2.31,NA,126
2014,1,6,1,29.41,2,130,0.78,2.31,NA,153
2014,1,6,2,27.18,1.94,85,0.76,3.1,1027.85,157
2014,1,6,3,29.41,1.66,203,0.77,1.86,NA,144
2014,1,6,4,29.18,1.97,67,0.78,1.85,NA,138
2014,1,6,5,25.53,1.65,129,0.78,2.57,1027.26,128
2014,1,6,6,29.18,3.5,126,0.77,1.85,NA,126
2014,1,6,7,28.95,3.07,138,0.77,1.75,NA,126
2014,1,6,8,25.41,3.53,119,0.79,1.87,1027.85,159
